modelmodel;;Information Model;
tableName;columnName;entityName;attrName
ARCS;;Exklusivbeziehung;
ARCS;ARCS_ID;;
ARCS;ARCS_NAME;Exklusivbeziehung;Name
ARCS;ARCS_ENTI_ID;;
ARCS;ARCS_UC;;
ARCS;ARCS_DC;;
ARCS;ARCS_UM;;
ARCS;ARCS_DM;;
ATTRIBUTES;;Sprachtext;
ATTRIBUTES;;Attribut;
ATTRIBUTES;ATTR_ID;;
ATTRIBUTES;ATTR_TECH_NAME;Attribut;Attributname
ATTRIBUTES;ATTR_DISPL_NAME;Sprachtext;Text
ATTRIBUTES;ATTR_DISPL_NAME;Attribut;Anzeigename [L]
ATTRIBUTES;ATTR_DISPL_SEQ;Attribut;Anzeigereihenfolge
ATTRIBUTES;ATTR_DESCR;Sprachtext;Text
ATTRIBUTES;ATTR_DESCR;Attribut;Beschreibung [L]
ATTRIBUTES;ATTR_TOOLTIP;Sprachtext;Text
ATTRIBUTES;ATTR_TOOLTIP;Attribut;Tooltip [L]
ATTRIBUTES;ATTR_IS_MANDATORY;Attribut;ist Pflichtattribut
ATTRIBUTES;ATTR_IS_DESCRIPTIVE;Attribut;ist Deskriptorfeld
ATTRIBUTES;ATTR_IS_REPEATED;Attribut;ist Wiederholattribut
ATTRIBUTES;ATTR_IS_TRANSLATED;Attribut;ist sprachabhängig
ATTRIBUTES;ATTR_IS_HISTORICISED;Attribut;ist historisiert
ATTRIBUTES;ATTR_IS_ENCRYPTED;Attribut;ist verschlüsselt
ATTRIBUTES;ATTR_ENTI_ID;;
ATTRIBUTES;ATTR_DOMA_ID;;
ATTRIBUTES;ATTR_UC;;
ATTRIBUTES;ATTR_DC;;
ATTRIBUTES;ATTR_UM;;
ATTRIBUTES;ATTR_DM;;
BUSINESS_RULES;;Sprachtext;
BUSINESS_RULES;;Geschäftsregel;
BUSINESS_RULES;BURU_ID;;
BUSINESS_RULES;BURU_NAME;Geschäftsregel;Name
BUSINESS_RULES;BURU_RULE;Geschäftsregel;Regel
